username,pet,email,ip
cshillitto0,Naja sp.,jweafer0@xrea.com,172.29.0.50
tmantz1,Cervus elaphus,asmieton1@umn.edu,172.29.0.42
ldeighton2,Cebus apella,ifranck2@icq.com,192.168.4.112
qsprakes3,Redunca redunca,eallner3@alexa.com,192.168.4.254
ihoulworth4,Tadorna tadorna,kgowans4@usatoday.com,192.168.4.99
mvaskov5,Paradoxurus hermaphroditus,hsalack5@telegraph.co.uk,192.168.4.100
imechan6,Uraeginthus bengalus,rbrandel6@nifty.com,172.29.0.251
aakett7,Ovis orientalis,mthiem7@samsung.com,181.172.29.0.1
bkeaves8,Oryx gazella,ogherardelli8@cnbc.com,172.29.0.115
lkegg9,Neotoma sp.,sduff9@livejournal.com,172.29.0.20
